,movie,year,imdb,metaScore,votes,usGrossMillions,timeMin
270,The Princess Bride,1987,8.1,77.0,398265,30.86,98
271,Stand by Me,1986,8.1,75.0,369022,52.29,89
272,Platoon,1986,8.1,92.0,386940,138.53,120
273,The Sacrifice,1986,8.1,,25274,0.3,149
274,"Paris, Texas",1984,8.1,78.0,94713,2.18,145
275,Nausicaä of the Valley of the Wind,1984,8.1,86.0,154738,0.5,117
276,The Thing,1982,8.1,57.0,377947,13.78,109
277,Fitzcarraldo,1982,8.1,,32253,,158
278,Fanny and Alexander,1982,8.1,100.0,58484,4.97,188
279,Blade Runner,1982,8.1,84.0,704518,32.87,117
280,The Elephant Man,1980,8.1,78.0,223930,,124
281,Stalker,1979,8.1,,120114,0.23,162
282,Monty Python's Life of Brian,1979,8.1,77.0,372905,20.05,94
283,The Deer Hunter,1978,8.1,86.0,316367,48.98,183
284,Rocky,1976,8.1,70.0,527683,117.24,120
285,Network,1976,8.1,83.0,147331,,121
286,Barry Lyndon,1975,8.1,89.0,153153,,185
287,Mirror,1975,8.1,80.0,41135,0.18,107
288,Paper Moon,1973,8.1,77.0,42965,30.93,102
289,Cries & Whispers,1972,8.1,,30945,1.74,91
290,Solaris,1972,8.1,90.0,82717,,167
291,Le Samouraï,1967,8.1,,46570,0.04,101
292,Cool Hand Luke,1967,8.1,92.0,164608,16.22,127
293,Persona,1966,8.1,86.0,106226,,83
294,Andrei Rublev,1966,8.1,,48411,0.1,205
295,The Battle of Algiers,1966,8.1,96.0,54443,0.06,121
296,The Exterminating Angel,1962,8.1,,30284,,95
297,What Ever Happened to Baby Jane?,1962,8.1,75.0,51153,4.05,134
298,Sanjuro,1962,8.1,,33779,,96
299,The Man Who Shot Liberty Valance,1962,8.1,94.0,70071,,123
300,Ivan's Childhood,1962,8.1,,32629,,84
301,The Virgin Spring,1960,8.1,,27186,1.53,89
302,Inherit the Wind,1960,8.1,75.0,27834,,128
303,The 400 Blows,1959,8.1,,107807,,99
304,Ben-Hur,1959,8.1,90.0,222735,74.7,212
305,The Hidden Fortress,1958,8.1,,35618,,126
306,Sweet Smell of Success,1957,8.1,100.0,28817,,96
307,Nights of Cabiria,1957,8.1,,43781,0.75,110
308,Throne of Blood,1957,8.1,,47646,,110
309,The Bridge on the River Kwai,1957,8.1,87.0,206441,44.91,161
310,Rififi,1955,8.1,97.0,30384,0.06,118
311,On the Waterfront,1954,8.1,91.0,144410,9.6,108
312,Diabolique,1955,8.1,,62213,,117
313,The Wages of Fear,1953,8.1,85.0,55831,,131
314,Ace in the Hole,1951,8.1,72.0,32296,3.97,111
315,White Heat,1949,8.1,,30302,,114
316,The Third Man,1949,8.1,97.0,161238,0.45,93
317,The Red Shoes,1948,8.1,,31654,10.9,135
318,The Best Years of Our Lives,1946,8.1,93.0,58051,23.65,170
319,The Shop Around the Corner,1940,8.1,96.0,29010,0.2,99
320,Rebecca,1940,8.1,86.0,126243,4.36,130
321,The Grapes of Wrath,1940,8.1,96.0,86401,0.06,129
322,Mr. Smith Goes to Washington,1939,8.1,73.0,108575,9.6,129
323,Gone with the Wind,1939,8.1,97.0,294260,198.68,238
324,La Grande Illusion,1937,8.1,,34325,0.17,113
325,It Happened One Night,1934,8.1,87.0,95866,4.36,105
326,All Quiet on the Western Front,1930,8.1,91.0,57897,3.27,152
327,The Passion of Joan of Arc,1928,8.1,,49024,0.02,114
328,The Circus,1928,8.1,90.0,30882,,72
329,Sunrise,1927,8.1,,47447,0.54,94
330,The General,1926,8.1,,82634,1.03,67
331,The Cabinet of Dr. Caligari,1920,8.1,,58424,,67
332,Badhaai Ho,2018,8.0,,28901,,124
333,Togo,2019,8.0,69.0,40326,,113
334,Airlift,2016,8.0,,53408,,130
335,Bajrangi Bhaijaan,2015,8.0,,74326,8.18,163
336,Baby,2015,8.0,,53413,,159
337,La La Land,2016,8.0,94.0,519185,151.1,128
338,Lion,2016,8.0,69.0,219157,51.74,118
339,The Martian,2015,8.0,80.0,774756,228.43,144
340,Zootopia,2016,8.0,78.0,443559,341.27,108
341,Baahubali: The Beginning,2015,8.0,,104817,6.74,159
342,The Tale of The Princess Kaguya,2013,8.0,89.0,40378,1.51,137
343,Wonder,2017,8.0,66.0,146837,132.42,113
344,Gully Boy,2019,8.0,65.0,33123,5.57,154
345,Special 26,2013,8.0,,51758,1.08,144
346,Short Term 12,2013,8.0,82.0,83205,1.01,96
347,The Raid 2,2014,8.0,71.0,115855,2.63,150
348,The Imitation Game,2014,8.0,73.0,698626,91.13,114
349,Guardians of the Galaxy,2014,8.0,76.0,1062694,333.18,121
350,Blade Runner 2049,2017,8.0,81.0,477495,92.05,164
351,Her,2013,8.0,90.0,552646,25.57,126
352,The Revenant,2015,8.0,76.0,720611,183.64,156
353,The Perks of Being a Wallflower,2012,8.0,67.0,470457,17.74,103
354,Elite Squad 2: The Enemy Within,2010,8.0,71.0,79973,0.1,115
355,The King's Speech,2010,8.0,88.0,647583,138.8,118
356,The Help,2011,8.0,62.0,433800,169.71,146
357,Deadpool,2016,8.0,65.0,920515,363.07,108
358,Darbareye Elly,2009,8.0,87.0,47199,0.11,119
359,Dev.D,2009,8.0,,29082,0.01,144
360,Yip Man,2008,8.0,59.0,213477,,106
361,My Name Is Khan,2010,8.0,50.0,99838,4.02,165
